Protein Drug Interaction Pmid
"1-Alkyl-2-acetylglycerophosphocholine Esterase" caffeine Direct 8671764
"1-Alkyl-2-acetylglycerophosphocholine Esterase" dyphylline Direct 6316994
"1-Alkyl-2-acetylglycerophosphocholine Esterase" milrinone Direct 1337808
"1-Alkyl-2-acetylglycerophosphocholine Esterase" papaverine Direct 195894
"1-Alkyl-2-acetylglycerophosphocholine Esterase" papaverine Direct 228965
"1-Alkyl-2-acetylglycerophosphocholine Esterase" pentoxifylline Direct 7925603
"1-Alkyl-2-acetylglycerophosphocholine Esterase" pentoxifylline Direct 10469361
sdfds THA Direct 10594467
sdfds acetaminophen Direct 10811468
sdfds acetaminophen Direct 12401345
sdfds caffeine Direct 15236952
sdfds caffeine Direct 16128907
sdfds chlorzoxazone Direct 7663531
sdfds chlorzoxazone Direct 10473105
sdfds clozapine Direct 12665390
sdfds fluvoxamine Direct 12828569
sdfds fluvoxamine Direct 15845683
sdfds imipramine Direct 11714871
sdfds mexiletine Direct 9690950
sdfds mirtazapine Direct 11675851
sdfds moclobemide Direct 11309556
sdfds nifedipine Direct 10805063
sdfds olanzapine Direct 8632334
sdfds olanzapine Direct 12665390
sdfds perazine Direct 12523495
sdfds perazine Direct 14581727
sdfds phenacetin Direct 7678502
sdfds phenacetin Direct 16324277
sdfds ropinirole Direct 11069211
sdfds theobromine Direct 11985335
sdfds thioridazine Direct 12208554
sdfds warfarin Direct 9014207
sdfds warfarin Direct 9416970
