link,proteinName
D043203/,1-Alkyl-2-acetylglycerophosphocholine Esterase
D015088/,"2',5'-Oligoadenylate Synthetase"
D015105/,"3',5'-Cyclic-Nucleotide Phosphodiesterase"
D042942/,3-Methyl-2-Oxobutanoate Dehydrogenase (Lipoamide)
9606.ENSP00000315348/,3OST5
D000612/,4-Aminobutyrate Transaminase
D015720/,5'-Nucleotidase
D000624/,5-Aminolevulinate Synthetase
9606.ENSP00000263100/,A1BG
9606.ENSP00000323929/,A2M
9606.ENSP00000350133/,AAC1
9606.ENSP00000286479/,AAC2
9606.ENSP00000232892/,AADAC
9606.ENSP00000226840/,AADAT
9606.ENSP00000250615/,AANAT
9606.ENSP00000324196/,AATK
9606.ENSP00000268251/,ABAT
9606.ENSP00000297693/,ABCA1
9606.ENSP00000269081/,ABCA10
9606.ENSP00000272895/,ABCA12
9606.ENSP00000321973/,ABCA13
9606.ENSP00000347205/,ABCA2
9606.ENSP00000351376/,ABCA3
9606.ENSP00000354463/,ABCA4
9606.ENSP00000319766/,ABCA5
9606.ENSP00000284425/,ABCA6
9606.ENSP00000263094/,ABCA7
9606.ENSP00000348627/,ABCA8
9606.ENSP00000342216/,ABCA9
9606.ENSP00000265724/,ABCB1
9606.ENSP00000258256/,ABCB10
9606.ENSP00000263817/,ABCB11
9606.ENSP00000265723/,ABCB4
9606.ENSP00000258738/,ABCB5
9606.ENSP00000265316/,ABCB6
9606.ENSP00000253577/,ABCB7
9606.ENSP00000351234/,ABCB9
9606.ENSP00000263013/,ABCC1
9606.ENSP00000338064/,ABCC10
9606.ENSP00000240555/,ABCC11
9606.ENSP00000311030/,ABCC12
9606.ENSP00000323056/,ABCC13
9606.ENSP00000266063/,ABCC2
9606.ENSP00000285238/,ABCC3
9606.ENSP00000261295/,ABCC4
9606.ENSP00000333926/,ABCC5
9606.ENSP00000205557/,ABCC6
9606.ENSP00000303960/,ABCC8
9606.ENSP00000261201/,ABCC9
9606.ENSP00000218104/,ABCD1
9606.ENSP00000310688/,ABCD2
9606.ENSP00000263889/,ABCD3
9606.ENSP00000349396/,ABCD4
9606.ENSP00000296577/,ABCE1
9606.ENSP00000313603/,ABCF1
9606.ENSP00000222388/,ABCF2
9606.ENSP00000343820/,ABCG1
9606.ENSP00000237612/,ABCG2
9606.ENSP00000304111/,ABCG4
9606.ENSP00000260645/,ABCG5
9606.ENSP00000272286/,ABCG8
9606.ENSP00000326491/,ABHD1
9606.ENSP00000013894/,ABHD5
9606.ENSP00000298467/,ABL1
9606.ENSP00000354193/,ABP1
9606.ENSP00000195455/,AC1
9606.ENSP00000333664/,ACAA1
9606.ENSP00000285093/,ACAA2
9606.ENSP00000344789/,ACACA
9606.ENSP00000341044/,ACACB
9606.ENSP00000225823/,ACCN1
9606.ENSP00000297504/,ACCN3
9606.ENSP00000350786/,ACCN4
9606.ENSP00000264432/,ACCN5
9606.ENSP00000290866/,ACE
9606.ENSP00000252519/,ACE2
9606.ENSP00000350037/,ACHE
9606.ENSP00000253792/,ACLY
9606.ENSP00000348459/,ACMSD
9606.ENSP00000309477/,ACO1
9606.ENSP00000216254/,ACO2
9606.ENSP00000301608/,ACOX1
9606.ENSP00000216139/,ACR
9606.ENSP00000239584/,ACTL
9606.ENSP00000263640/,ACVR1
9606.ENSP00000257963/,ACVR1B
9606.ENSP00000243349/,ACVR1C
9606.ENSP00000340361/,ACVR2B
9606.ENSP00000267008/,ACVRL1
9606.ENSP00000352331/,ADA
9606.ENSP00000309968/,ADAM17
9606.ENSP00000265707/,ADAM18
9606.ENSP00000257527/,ADAM19
9606.ENSP00000265769/,ADAM28
9606.ENSP00000330560/,ADAM29
9606.ENSP00000256645/,ADAM30
9606.ENSP00000348912/,ADAM33
9606.ENSP00000284984/,ADAMTS1
9606.ENSP00000270328/,ADAMTS10
9606.ENSP00000344847/,ADAMTS12
9606.ENSP00000321395/,ADAMTS13
9606.ENSP00000299279/,ADAMTS14
9606.ENSP00000299164/,ADAMTS15
9606.ENSP00000251582/,ADAMTS2
9606.ENSP00000309332/,ADAMTS20
9606.ENSP00000286657/,ADAMTS3
9606.ENSP00000319757/,ADAMTS4
9606.ENSP00000284987/,ADAMTS5
9606.ENSP00000261306/,ADAMTS6
9606.ENSP00000257359/,ADAMTS8
9606.ENSP00000295903/,ADAMTS9
9606.ENSP00000276935/,ADAMTSL1
9606.ENSP00000286744/,ADAMTSL3
9606.ENSP00000292205/,ADAR
9606.ENSP00000329642/,ADARB2
9606.ENSP00000310015/,ADAT1
9606.ENSP00000297323/,ADCY1
9606.ENSP00000264672/,ADCY2
9606.ENSP00000312126/,ADCY4
9606.ENSP00000308685/,ADCY5
9606.ENSP00000311405/,ADCY6
9606.ENSP00000254235/,ADCY7
9606.ENSP00000286355/,ADCY8
9606.ENSP00000294016/,ADCY9
9606.ENSP00000269200/,ADCYAP1
9606.ENSP00000341785/,ADIPOR1
9606.ENSP00000286621/,ADK
9606.ENSP00000308549/,ADORA1
9606.ENSP00000351480/,ADORA2A
9606.ENSP00000304501/,ADORA2B
9606.ENSP00000235097/,ADORA3
9606.ENSP00000216180/,ADPN
9606.ENSP00000306662/,ADRA1B
9606.ENSP00000348729/,ADRA1C
9606.ENSP00000303199/,ADRA1D
9606.ENSP00000280155/,ADRA2A
9606.ENSP00000320944/,ADRA2B
9606.ENSP00000046967/,ADRB1
9606.ENSP00000305372/,ADRB2
9606.ENSP00000343782/,ADRB3
9606.ENSP00000312262/,ADRBK1
9606.ENSP00000317578/,ADRBK2
9606.ENSP00000216194/,ADSL
9606.ENSP00000223357/,AEBP1
9606.ENSP00000348494/,AFG3L1
9606.ENSP00000268134/,AGC1
9606.ENSP00000316109/,AGGF1
9606.ENSP00000309020/,AGL
