link,drugname
2202/,"1,8-dihydroxy-9-anthrone"
9904/,19-nortestosterone
1546/,2-chlorodeoxyadenosine
1593/,25-hydroxyvitamin D
5219/,3-morpholinosydnonimine
3408/,4-hydroxyandrostenedione
9015/,4-hydroxyanisole
5280567/,4-methylumbelliferone
4075/,5-aminosalicylic acid
3385/,5-fluorouracil
39880/,5-methylpyrazinecarboxylic acid 4-oxide
5473386/,6-mercaptopurine
4114/,8-methoxypsoralen
2449/,AA-2414
564/,ACA
2578/,BCNU
65866/,Cardiovasc
1234/,D-600
4727/,D-penicillamine
4739/,DCF
27991/,DDAVP
653/,DTC
3199/,ET-743
3154/,Ets
122197/,FP-CIT
28283/,Fe(II)-EDTA
10413/,GHB
1990/,Hae
40976/,Implanon
71749/,LINK
55197/,Linomide
9991/,MGB
4272/,MOA
51634/,N-butyldeoxynojirimycin
4942/,P-4
2329/,PFD
122316/,Ras
7510/,Ronicol
1080/,SCMC
128919/,SR 57746A
6575/,TCE
1935/,THA
53359/,TOL
6503/,Tris buffer
71388/,Triton WR-1339
71637/,UK-738
3103/,Vena
17513/,acadesine
71158/,acamprosate
41774/,acarbose
1978/,acebutolol
1979/,aceclidine
9052/,acenocoumarol
1983/,acetaminophen
1986/,acetazolamide
1989/,acetohexamide
60561/,acetorphan
1996/,acetylcarnitine
5310993/,acipimox
41317/,acitretin
2008/,aclarubicin
55756/,acrivastine
60164/,adapalene
424379/,adenosylcobalamin
3033226/,adrafinil
5282405/,alcuronium
2088/,alendronate
51263/,alfentanil
2092/,alfuzosin
83786/,allopurinol
2099/,alosetron
3125/,alpha-methyl-p-tyrosine
68930/,alphaxalone
2118/,alprazolam
2119/,alprenolol
2130/,amantadine
2131/,ambenonium
16231/,amiloride
2145/,aminoglutethimide
6009/,aminopyrine
2156/,amiodarone
2159/,amisulpride
2160/,amitriptyline
2161/,amlexanox
2162/,amlodipine
3007/,amphetamine
2179/,amsacrine
2187/,anastrozole
2200/,antazoline
2215/,apomorphine
151165/,aprepitant
2232/,argatroban
60795/,aripiprazole
2244/,aspirin
2247/,astemizole
2249/,atenolol
54841/,atomoxetine
2250/,atorvastatin
68613/,atosiban
47319/,atracurium
3661/,atropine
6918453/,auranofin
26098/,azapropazone
2265/,azathioprine
2266/,azelaic acid
2267/,azelastine
2284/,baclofen
54766/,bambuterol
2308/,beclomethasone
2311/,benazepril
2315/,bendrofluazide
2324/,benidipine
39941/,benoxaprofen
2333/,benzbromarone
2337/,benzocaine
7187/,benzoyl peroxide
2344/,benztropine
12555/,benzydamine
685814/,benzylthiouracil
2351/,bepridil
2352/,beraprost sodium
108057/,beta-acetyldigoxin
2366/,betahistine
247/,betaine
2369/,betaxolol
7741/,betazole
2370/,bethanechol
39042/,bezafibrate
2375/,bicalutamide
2381/,biperiden
6335486/,bismuth subcitrate
2405/,bisoprolol
44112/,bopindolol
93860/,bortezomib
104865/,bosentan
2435/,brimonidine
68844/,brinzolamide
2443/,bromocriptine
2448/,bromperidol
6834/,brompheniramine
2451/,brotizolam
2462/,budesonide
68778/,budipine
2471/,bumetanide
2476/,buprenorphine
444/,bupropion
2477/,buspirone
2478/,busulfan
2487/,butorphanol
2512/,cabergoline
2519/,caffeine
2522/,calcipotriol
2536/,camostat mesilate
