url,proteinName
D043203/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'1-Alkyl-2-acetylglycerophosphocholine Es'>]>
D015088/,"<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u""2',5'-Oligoadenylate Synthetase"">]>"
D015105/,"<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u""3',5'-Cyclic-Nucleotide Phosphodiesteras"">]>"
D042942/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'3-Methyl-2-Oxobutanoate Dehydrogenase (L'>]>
9606.ENSP00000315348/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'3OST5'>]>
D000612/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'4-Aminobutyrate Transaminase'>]>
D015720/,"<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u""5'-Nucleotidase"">]>"
D000624/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'5-Aminolevulinate Synthetase'>]>
9606.ENSP00000263100/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'A1BG'>]>
9606.ENSP00000323929/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'A2M'>]>
9606.ENSP00000350133/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'AAC1'>]>
9606.ENSP00000286479/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'AAC2'>]>
9606.ENSP00000232892/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'AADAC'>]>
9606.ENSP00000226840/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'AADAT'>]>
9606.ENSP00000250615/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'AANAT'>]>
9606.ENSP00000324196/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'AATK'>]>
9606.ENSP00000268251/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABAT'>]>
9606.ENSP00000297693/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA1'>]>
9606.ENSP00000269081/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA10'>]>
9606.ENSP00000272895/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA12'>]>
9606.ENSP00000321973/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA13'>]>
9606.ENSP00000347205/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA2'>]>
9606.ENSP00000351376/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA3'>]>
9606.ENSP00000354463/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA4'>]>
9606.ENSP00000319766/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA5'>]>
9606.ENSP00000284425/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA6'>]>
9606.ENSP00000263094/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA7'>]>
9606.ENSP00000348627/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA8'>]>
9606.ENSP00000342216/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCA9'>]>
9606.ENSP00000265724/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCB1'>]>
9606.ENSP00000258256/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCB10'>]>
9606.ENSP00000263817/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCB11'>]>
9606.ENSP00000265723/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCB4'>]>
9606.ENSP00000258738/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCB5'>]>
9606.ENSP00000265316/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCB6'>]>
9606.ENSP00000253577/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCB7'>]>
9606.ENSP00000351234/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCB9'>]>
9606.ENSP00000263013/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC1'>]>
9606.ENSP00000338064/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC10'>]>
9606.ENSP00000240555/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC11'>]>
9606.ENSP00000311030/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC12'>]>
9606.ENSP00000323056/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC13'>]>
9606.ENSP00000266063/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC2'>]>
9606.ENSP00000285238/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC3'>]>
9606.ENSP00000261295/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC4'>]>
9606.ENSP00000333926/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC5'>]>
9606.ENSP00000205557/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC6'>]>
9606.ENSP00000303960/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC8'>]>
9606.ENSP00000261201/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCC9'>]>
9606.ENSP00000218104/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCD1'>]>
9606.ENSP00000310688/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCD2'>]>
9606.ENSP00000263889/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCD3'>]>
9606.ENSP00000349396/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCD4'>]>
9606.ENSP00000296577/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCE1'>]>
9606.ENSP00000313603/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCF1'>]>
9606.ENSP00000222388/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCF2'>]>
9606.ENSP00000343820/,<bound method SelectorList.extract of [<Selector xpath='a/text()' data=u'ABCG1'>]>
